단어,뜻,출처,레벨,쓰이는장면
pear,배,기존,레벨1,시장 바구니의 맛
pepper,후추,기존,레벨1,시장 바구니의 맛
pork,돼지고기,기존,레벨2,시장 바구니의 맛
powder,가루,기존,레벨2,시장 바구니의 맛
rice,밥,기존,레벨1,시장 바구니의 맛
snack,간식,기존,레벨1,시장 바구니의 맛
strawberry,딸기,기존,레벨2,시장 바구니의 맛
sweet,달콤한 맛,기존,레벨1,시장 바구니의 맛
toast,토스트,기존,레벨1,아침 조리대
boil,끓이다,기존,레벨1,아침 조리대
bowl,볼 그릇,기존,레벨1,아침 조리대
chop,다지다,기존,레벨2,아침 조리대
dish,접시,기존,레벨1,아침 조리대
fry,튀기다,기존,레벨1,아침 조리대
recipe,조리법,신규,레벨2,아침 조리대
consume,소비하다,기존,레벨2,소스 혼합대
grocery,식료품,기존,레벨1,소스 혼합대
mix,섞다,기존,레벨1,소스 혼합대
pour,물을 주다,기존,레벨1,소스 혼합대
sauce,소스,기존,레벨1,소스 혼합대
menu,차림표,신규,레벨1,소스 혼합대
bacon,베이컨,기존,레벨2,소스 혼합대
bitter,쓴,신규,레벨2,소스 혼합대
melon,멜론,기존,레벨1,소스 혼합대
price,값,신규,레벨1,소스 혼합대
pot,도자기 화병,기존,레벨2,닫히는 찻장
pan,프라이팬,기존,레벨1,닫히는 찻장
plate,금속 동판,기존,레벨1,닫히는 찻장
tea,차,기존,레벨1,닫히는 찻장
supper,저녁 식사,기존,레벨1,닫히는 찻장
kettle,주전자,기존,레벨1,닫히는 찻장
budget,예산,신규,레벨1,가계 저울
coin,동전,기존,레벨1,가계 저울
credit,credit·학습,기존,레벨1,가계 저울
estimate,어림잡다,기존,레벨2,가계 저울
expense,비용,신규,레벨2,가계 저울
fee,요금,신규,레벨1,가계 저울
finance,재정,신규,레벨2,가계 저울
earn,벌다,기존,레벨1,가계 저울
stamp,우표,신규,레벨1,가계 저울
fund,자금,신규,레벨2,위험을 나누는 금고
income,수입,기존,레벨2,위험을 나누는 금고
insure,보험을 들다,기존,레벨2,위험을 나누는 금고
loan,대출,신규,레벨2,위험을 나누는 금고
loss,손실,신규,레벨2,위험을 나누는 금고
profit,이익,신규,레벨2,위험을 나누는 금고
afford,살 여유가 있다,기존,레벨2,위험을 나누는 금고
charge,값을 매기다,신규,레벨2,위험을 나누는 금고
debt,debt·도구,기존,레벨2,위험을 나누는 금고
economy,경제,기존,레벨2,위험을 나누는 금고
salary,salary·연주,기존,레벨2,노동의 몫
spend,쓰다,기존,레벨1,노동의 몫
tax,세금,신규,레벨2,노동의 몫
value,가치,신규,레벨1,노동의 몫
wage,품삯,기존,레벨2,노동의 몫
worth,가치 있는,신규,레벨2,노동의 몫
advertise,광고하다,기존,레벨2,노동의 몫
award,상,기존,레벨1,약속의 시장 천칭
bet,내기,기존,레벨2,약속의 시장 천칭
brand,상표,신규,레벨1,약속의 시장 천칭
commerce,장사,기존,레벨2,약속의 시장 천칭
contract,contract·도구,기존,레벨2,약속의 시장 천칭
demand,요구,기존,레벨2,약속의 시장 천칭
grant,내어 주다,기존,레벨2,약속의 시장 천칭
guarantee,보증,신규,레벨2,약속의 시장 천칭
invest,밑천을 대다,기존,레벨2,약속의 시장 천칭
prize,상품,기존,레벨2,창고 순환 시장
property,재산,신규,레벨2,창고 순환 시장
purchase,구입하다,신규,레벨2,창고 순환 시장
rent,빌리다,신규,레벨1,창고 순환 시장
sponsor,후원자,신규,레벨2,창고 순환 시장
stock,주식,신규,레벨2,창고 순환 시장
supply,공급,신규,레벨2,창고 순환 시장
trade,무역,신규,레벨1,창고 순환 시장
waste,낭비하다,신규,레벨2,창고 순환 시장
brick,벽돌,기존,레벨2,벽체 단면 공방
ceiling,천장,기존,레벨2,벽체 단면 공방
cottage,시골집,기존,레벨2,벽체 단면 공방
fence,울타리,기존,레벨1,벽체 단면 공방
frame,뼈대,기존,레벨1,벽체 단면 공방
bin,쓰레기통,기존,레벨2,벽체 단면 공방
cable,케이블,기존,레벨2,벽체 단면 공방
garage,차고,기존,레벨1,차고와 거실 단면
livingroom,거실,기존,레벨1,차고와 거실 단면
roof,지붕,기존,레벨1,차고와 거실 단면
shelf,선반,기존,레벨1,차고와 거실 단면
carpet,카펫,기존,레벨2,차고와 거실 단면
pet,반려동물,기존,레벨1,차고와 거실 단면
fur,부드러운 솜털,기존,레벨2,차고와 거실 단면
shower,샤워기,기존,레벨1,물 쓰는 층계집
stairs,계단,기존,레벨1,물 쓰는 층계집
toilet,변기,기존,레벨1,물 쓰는 층계집
villa,별장,기존,레벨2,물 쓰는 층계집
boot,부츠,기존,레벨2,물 쓰는 층계집
dump,버리다,기존,레벨2,물 쓰는 층계집
bar,창살,기존,레벨1,현관 정리 장치
bench,벤치,기존,레벨1,현관 정리 장치
blanket,담요,기존,레벨1,현관 정리 장치
chain,사슬,기존,레벨1,현관 정리 장치
furniture,가구,기존,레벨1,현관 정리 장치
iron,다리미,기존,레벨2,현관 정리 장치
lid,뚜껑,기존,레벨2,현관 정리 장치
lamp,램프,기존,레벨1,수선 작업벽
lock,자물쇠,기존,레벨1,수선 작업벽
mess,엉망,기존,레벨2,수선 작업벽
microwave,전자레인지,기존,레벨2,수선 작업벽
mirror,거울,기존,레벨1,수선 작업벽
oven,오븐,기존,레벨1,수선 작업벽
pin,핀,기존,레벨2,수선 작업벽
pipe,파이프,기존,레벨2,수선 작업벽
sheet,얇은 판,기존,레벨2,세탁 급수 선반
string,줄,기존,레벨1,세탁 급수 선반
tank,탱크,기존,레벨2,세탁 급수 선반
tap,꼭지,기존,레벨1,세탁 급수 선반
towel,수건,기존,레벨1,세탁 급수 선반
tray,쟁반,기존,레벨2,세탁 급수 선반
wire,철사,기존,레벨2,세탁 급수 선반
capital,수도,신규,레벨1,수도 교통 모형
cinema,영화관,기존,레벨1,수도 교통 모형
hall,회관,신규,레벨1,수도 교통 모형
hotel,호텔,신규,레벨1,수도 교통 모형
prison,교도소,기존,레벨2,수도 교통 모형
cycle,자전거,기존,레벨2,수도 교통 모형
museum,박물관,기존,레벨1,문화 언덕의 저녁
opera,오페라·가극,기존,레벨1,문화 언덕의 저녁
palace,궁전,기존,레벨1,문화 언덕의 저녁
post,지키는 자리,기존,레벨1,문화 언덕의 저녁
pub,선술집,기존,레벨2,문화 언덕의 저녁
station,역,신규,레벨1,배움 마을 환승장
studio,작업실,기존,레벨2,배움 마을 환승장
theater,공연장·극장,기존,레벨1,배움 마을 환승장
university,대학교,기존,레벨1,배움 마을 환승장
village,마을,기존,레벨1,배움 마을 환승장
helicopter,헬리콥터,신규,레벨2,배움 마을 환승장
motor,모터(전동기),기존,레벨2,배움 마을 환승장
exit,출구,기존,레벨2,배움 마을 환승장
gear,기어,기존,레벨2,배움 마을 환승장
engine,엔진,신규,레벨2,배움 마을 환승장
airport,공항,기존,레벨1,산악 환승 시험장
brake,브레이크,기존,레벨1,산악 환승 시험장
cart,수레,기존,레벨1,산악 환승 시험장
rail,철로,신규,레벨2,산악 환승 시험장
seat,좌석,기존,레벨1,산악 환승 시험장
tour,여행,기존,레벨1,산악 환승 시험장
traffic,거리 교통,기존,레벨1,산악 환승 시험장
flight,항공편,기존,레벨1,섬 여행 연결망
gate,탑승구,기존,레벨1,섬 여행 연결망
picnic,소풍,기존,레벨1,섬 여행 연결망
plane,비행기,기존,레벨1,섬 여행 연결망
ride,타다,기존,레벨1,섬 여행 연결망
transport,수송하다,신규,레벨2,섬 여행 연결망
van,승합차,신규,레벨2,섬 여행 연결망
vehicle,통학 차량,기존,레벨2,섬 여행 연결망
wheel,바퀴,기존,레벨1,섬 여행 연결망
airline,항공사,기존,레벨2,섬 여행 연결망
